created_at,text
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['RT', '@sliq_rik:', 'Beyond', 'tacos', 'from', '@DelTaco', 'and', 'a', 'beyond', 'burger', 'from', '@CarlsJr?', 'At', 'the', 'same', 'time?', '2019', 'is', 'a', 'time', 'to', 'be', 'alive.', '@BeyondMeat']"
Apr 25,"['Mírame', 'y', 'dime', 'que', 'me', 'quieres', '❤️', 'Pero', 'te', 'quiero', 'comeeeer', 'ñam', 'ñam', '🤤🤤', '#CarlsJr', '#Food', 'https://t.co/WG9fcwtRqb']"
Apr 25,"['@CarlsJr', '@LuciferNetflix', 'love', 'you', 'guys']"
Apr 25,"['@LuciferNetflix', 'this', 'is', 'so', 'exciting.', 'and', 'validating.', 'and', 'TEMPTING.']"
Apr 25,"['The', '1140', 'Street', 'Team', 'has', 'your', 'FREE', '@CarlsJr', 'Bacon', 'Truffle', 'Angus', 'Burger', 'and', 'Bacon', 'Truffle', 'Fries!', 'Ask', 'them', 'how', 'you…', 'https://t.co/3X5QoSckml']"
Apr 25,"['@memorie_holiday', '@CarlsJr', 'The', 'second', 'clause', 'proves', 'the', 'first']"
Apr 25,"['@ndrewwhitehead', '@AnabaptistRev', '@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51…', 'https://t.co/Dd0nXTe1lB']"
Apr 25,"['@ndrewwhitehead', '@AnabaptistRev', '@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51…', 'https://t.co/kuxzCnddUw']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['RT', '@CarlsJrID:', 'Are', 'you', 'Tony,', 'Peter,', 'Bruce,', 'Steve,', 'Natalia,', 'Carol', 'or', 'Edwin?', 'If', 'yes', 'visit', 'us', 'now', 'and', 'show', 'your', 'valid', 'ID', 'Card', 'to', 'enjoy', 'Hawaiia…']"
Apr 25,"['Soy', 'bien', 'lacra', 'y', 'voy', 'a', 'robar', 'wifi', 'al', 'carlsJr', 'cuando', 'no', 'tengo', 'datos✨']"
Apr 25,"['@adamkuntz', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor', '@jrchristianson…', 'https://t.co/nq7wNOPA2L']"
Apr 25,"['RT', '@CarlsJr:', '4/20', 'Only:', 'We""re', 'dropping', 'our', 'Rocky', 'Mountain', 'High', 'Cheese', 'Burger', 'Delight', 'with', 'CBD', 'infused', 'Santa', 'Fe', 'sauce', 'only', 'at', 'one', 'Denver', 'loc…']"
Apr 25,"['@auggie_mueller', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen', '@barryrod', '@ByNateTaylor…', 'https://t.co/fEnTv9z8ED']"
Apr 25,"['🍔', '@CarlsJr', 'está', 'incluyendo', 'un', 'ingrediente', 'especial', 'a', 'su', 'salsa', 'exclusiva...', 'El', 'restaurante', 'probará', 'una', 'hamburguesa', 'c…', 'https://t.co/OO0mbwjvNk']"
Apr 25,"['@FocusBreak', '@CarlsJr', '😍😍😍']"
Apr 25,"['A', 'new', 'trend', 'coming', 'for', 'Fast', 'Food?', '#420', '#carlsjr', '#cbd', '#burger', '#fastfood', '#denver', '#colorado', '#tpe20', '#tobaccoplusexpo', 'https://t.co/IbtdUdRnuA']"
Apr 25,"['@memorie_holiday', '@CarlsJr', 'https://t.co/ng9gKeFJUO', 'Super', 'easy', 'to', 'make', 'too', ':)']"
Apr 25,"['@FocusBreak', '@CarlsJr', 'That', 'looks', 'tasty']"
Apr 25,"['@memorie_holiday', '@CarlsJr', 'The', 'biscuits', 'are', 'too', 'good', 'for', 'burritos', 'https://t.co/dOajsROwPg']"
Apr 25,"['@memorie_holiday', '@CarlsJr', 'Nothing', 'beats', 'a', 'good', 'shakshukah', 'for', 'breakfast!', 'https://t.co/UhStV3d2pg']"
Apr 25,"['@memorie_holiday', '@CarlsJr', 'I""ve', 'never', 'had', 'one', 'but', 'that', 'just', 'sounds', 'good.', 'Like', 'someone', 'saying', 'bless', 'you', 'when', 'you', 'sneeze.']"
Apr 25,"['Maybe', 'I""m', 'a', 'basic', 'Becky,', 'but', 'I', 'think', '@CarlsJr', 'bacon', 'breakfast', 'burritos', 'are', 'stupid', 'good.']"
Apr 25,"['@ndrewwhitehead', '@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen…', 'https://t.co/AkFIEkwRMJ']"
Apr 25,"['@ndrewwhitehead', '@derryprenkert', '@ronald_long', '@joshuagriffin', '@boss_hogge', '@curtishoneycutt', '@AWSmith51', '@ctjensen…', 'https://t.co/5DdeIVDZTL']"
