created_at,text
Apr 25,"['Que', 'hacer', 'cuando', 'tienes', 'antojo', 'de', 'TacoBell', 'pero', 'no', 'pisas', 'Madrid', 'hasta', 'dentro', 'de', '10', 'días?', '@', 'yahoorespuestas']"
Apr 25,"['.@tacobell', 'beanball', '🔔', '🌮', '🍓']"
Apr 25,"['RT', '@little_lochness:', 'Told', 'my', 'girlfriend', '@tacobell', 'no', 'longer', 'sells', 'nacho', 'fries...', 'https://t.co/ci8BHUhU3L']"
Apr 25,"['RT', '@iHeartRadio:', 'RT', 'to', 'vote', 'for', '#Beliebers', 'for', '@tacobell', '#BestFanArmy!', '#iHeartAwards', '|', '@justinbieber', 'https://t.co/n4AuNOKp2l']"
Apr 25,"['RT', '@LightsCameraPod:', 'This', '#AvengersEndgame', 'hype', 'video', 'will', 'have', 'you', 'ready', 'to', 'run', 'through', 'a', 'brick', 'wall.', 'https://t.co/uuwmmbBlOM']"
Apr 25,"['@tacobell', 'worse', 'customer', 'service', 'ever.', 'The', 'supervisor', 'or', 'manager', 'I', 'dealt', 'with', 'should', 'be', 'fired.', 'Refused', 'to', 'fix', 'the…', 'https://t.co/yZQ2jbO3El']"
Apr 25,"['@AppleAlice', '@tacobell', 'Update:', 'Bill', 'did', 'go', 'back', 'and', 'showed', 'the', 'manager', 'the', 'picture', 'of', 'the', 'sorry', 'ass', 'taco.', 'She', 'was…', 'https://t.co/FiqYs5gNp4']"
Apr 25,"['@tacobell', 'what', 'comes', 'on', 'a', 'beefy', 'nacho', 'griller?']"
Apr 25,"['@TheBoiMaster', '@tacobell', 'I', 'should,', 'but', 'the', 'last', 'two', 'times', 'I', 'have', 'been', 'distracted', 'from', 'doing', 'thatttt']"
Apr 25,"['you', 'call', 'this', 'a', 'taco??', '@tacobell', 'https://t.co/JngfAAubAo']"
Apr 25,"['@tacobell', 'you', 'know', 'who', 'likes', 'tacos...', '@SpacestationGG', 'how', 'many', 'retweets', 'to', 'get', 'them', 'the', 'Taco', 'Bell', 'black', 'card', 'and', 'fr…', 'https://t.co/5v2VZsUEyy']"
Apr 25,"['okay', 'ladies', 'shall', 'I', 'apply', 'at', 'tacobell']"
Apr 25,"['Hopefully', 'i', 'get', 'a', 'call', 'back', 'from', 'Tacobell', 'today', 'they', 'are', 'doing', 'interviews']"
