created_at,text
Apr 25,"['@Wendys', 'https://t.co/bZp3OHvpBL']"
Apr 25,"['RT', '@marthakarhoff:', 'Yo,', 'Findlay', '@Wendys', 'get', 'your', 'shit', 'together.', '@findlayassholes']"
Apr 25,"['RT', '@Koreaboo:', 'BTS', 'V', 'Found', 'A', 'Girl’s', 'Earring', 'On', 'Stage…', 'Now', 'Fans', 'Want', 'The', 'Rest', 'Of', 'This', 'Cinderella', 'Story', 'https://t.co/2AlGi0e2qP']"
Apr 25,"['That’s', 'a', 'first', '😂😂', 'I', 'love', 'the', 'irony', 'of', 'the', 'hiring', 'sign', 'right', 'next', 'to', 'it', '@Wendys', 'https://t.co/8nLFR9uD1x']"
Apr 25,"['RT', '@s8n:', '@Wendys', '@SanClementeJedi', 'Come', 'to', 'the', 'uk', 'and', 'we', 'shall', 'talk!']"
Apr 25,"['I', 'want', '@BurgerKing', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!']"
Apr 25,"['I', 'want', '@BurgerKing', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!']"
Apr 25,"['@alixandraaa_', '@McDonalds', '@Wendys', 'Pickles?', '🤢', '🤮', 'Gross']"
Apr 25,"['really', 'wanted', 'to', 'run', 'this', 'nigga', 'over', 'at', 'wendys', 'but', 'its', 'cool💀.']"
Apr 25,"['I', 'want', '@BurgerKing', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!']"
Apr 25,"['RT', '@itsdougthepug:', 'I', 'got', 'to', 'go', 'to', '@Wendys', 'for', 'take', 'ur', 'child', 'to', 'work', 'day.', 'They', 'even', 'let', 'me', 'send', 'a', 'couple', 'tweets!', '🍔', 'https://t.co/WtVmYYF6bP']"
Apr 25,"['@liamdonnelly31', 'Sure!', 'Bring', 'some', 'wendys😂']"
Apr 25,"['RT', '@Gracepower_x3:', 'me', 'standin', 'in', 'ma', 'room', 'waiting', 'for', 'my', 'tan', 'to', 'dry', 'https://t.co/bNln3N156o']"
Apr 25,"['RT', '@Koreaboo:', 'BTS', 'V', 'Found', 'A', 'Girl’s', 'Earring', 'On', 'Stage…', 'Now', 'Fans', 'Want', 'The', 'Rest', 'Of', 'This', 'Cinderella', 'Story', 'https://t.co/2AlGi0e2qP']"
Apr 25,"['I', 'want', '@BurgerKing', 'to', 'follow', '@McDonalds', '&amp;', '@Wendys', 'in', 'committing', 'to', 'phase', 'out', 'polluting', 'plastic', 'to-go', 'containers!']"
